Date,Team,Acquired,Relinquished,Notes
2018-01-24,Mavericks,. Kyle Collinsworth,,re-signed to a second 10-day contract
2018-02-03,Mavericks,,. Kyle Collinsworth,player became a free agent
2018-02-08,Mavericks,. Kyle Collinsworth,,"signed free agent to a 3-year, $3.3M contract"
2018-02-08,Mavericks,". Doug McDermott. 2018 second round pick (less favorable of Blazers, Kings picks) (from Nuggets) (#54-Shake Milton)",. Devin Harris,"3-team trade with Knicks, Nuggets"
2018-02-10,Mavericks,,. Josh McRoberts,waived
2018-02-26,Mavericks,. Scotty Hopson,,signed free agent to a 10-day contract
2018-03-08,Mavericks,,. Scotty Hopson,waived
2018-03-11,Mavericks,. Jameel Warney,,signed free agent to a 10-day contract
2018-03-21,Mavericks,,. Jameel Warney,waived
2018-03-22,Mavericks,,. Jameel Warney,player became a free agent
2018-03-22,Mavericks,. Aaron Harrison,,signed free agent to a 10-day contract
2018-04-01,Mavericks,. Aaron Harrison,,re-signed for the remainder of the season
2018-04-30,Mavericks,. Wesley Matthews / Wes Matthews Jr.,,player exercised $18.6M contract option through 2018-19
2018-06-21,Mavericks,. Trae Young,,2018 NBA draft first round pick (#5 overall)
2018-06-21,Mavericks,. Jalen Brunson,,2018 NBA draft second round pick (#33 overall)
2018-06-21,Mavericks,. Shake Milton,,2018 NBA draft second round pick (#54 overall)
2018-06-21,Mavericks,. rights to Luka Doncic,". rights to Trae Young. first round pick (protected top 5 in 2019-20, top 3 in 2021-22, unprotected in 2023) (2019 #10-Cameron Reddish / Cam Reddish)",trade with Hawks
2018-06-21,Mavericks,. rights to Raymond Spalding / Ray Spalding. rights to Kostas Antetokounmpo,. rights to Shake Milton,trade with 76ers
2018-06-26,Mavericks,. Doug McDermott,,"team tendered qualifying offer, making player a restricted free agent"
2018-06-26,Mavericks,. Salah Mejri,,"team tendered qualifying offer, making player a restricted free agent"
2018-06-26,Mavericks,. Yogi Ferrell,,"team tendered qualifying offer, making player a restricted free agent"
2018-06-27,Mavericks,,. Doug McDermott,"team rescinded qualifying offer, making player an unrestricted free agent"
2018-06-28,Mavericks,,. Salah Mejri,"team rescinded qualifying offer, making player an unrestricted free agent"
2018-06-29,Mavericks,,. Aaron Harrison,"team declined to tender qualifying offer, making player an unrestricted free agent"
2018-06-29,Mavericks,,. Dirk Nowitzki,"team declined contract option, making player an unrestricted free agent"
2018-07-01,Mavericks,. Salah Mejri,,"re-signed unrestricted free agent to a 1-year, $1.6M contract"
2018-07-01,Mavericks,,. Nerlens Noel,player became an unrestricted free agent
2018-07-01,Mavericks,,. Seth Curry,player became an unrestricted free agent
2018-07-06,Mavericks,,. Aaron Harrison,team renounced free agent exception rights
2018-07-06,Mavericks,,. Dirk Nowitzki,team renounced free agent exception rights
2018-07-06,Mavericks,,. Kyle Collinsworth,waived
2018-07-06,Mavericks,,. Salah Mejri,team renounced free agent exception rights
2018-07-06,Mavericks,. DeAndre Jordan,,"signed unrestricted free agent to a 1-year, $22.9M contract"
2018-07-06,Mavericks,,. Nerlens Noel,team renounced free agent exception rights
2018-07-09,Mavericks,. Luka Doncic,,"signed first round pick to a 2-year, $14.2M contract with a 2-year team option"
2018-07-13,Mavericks,,. Jalen Jones,waived
2018-07-13,Mavericks,,. Yogi Ferrell,"team rescinded qualifying offer, making player an unrestricted free agent"
2018-07-13,Mavericks,. Kostas Antetokounmpo,,signed second round pick to a two way contract
2018-07-16,Mavericks,. Jalen Brunson,,signed second round pick to a 4-year contract
2018-07-20,Mavericks,. Raymond Spalding / Ray Spalding,,"signed second round pick to a 4-year, $5.7M contract"
2018-07-22,Mavericks,". rights to Maarty Leunen. $50,000 cash",. Johnathan Motley. rights to Renaldas Seibutis,trade with Clippers
2018-07-23,Mavericks,. Ding Yanyuhang,,signed free agent
2018-07-23,Mavericks,. Dirk Nowitzki,,"re-signed unrestricted free agent to a 1-year, $5M contract"
2018-07-25,Mavericks,. Daryl Macon,,signed free agent to a two way contract
2018-07-31,Mavericks,. Terry Larrier,,signed free agent
2018-08-01,Mavericks,. Codi Miller-McIntyre,,signed free agent
2018-08-02,Mavericks,. Chinanu Onuaku. Mavericks option to swap Warriors 2020 second round pick with Rockets (not exercised). cash,. rights to Maarty Leunen. Mavericks option to swap Warriors 2020 second round pick with Rockets (not exercised),trade with Rockets
2018-08-03,Mavericks,. Salah Mejri,,"re-signed unrestricted free agent to a 1-year, $1.6M contract"
2018-08-06,Mavericks,,. Chinanu Onuaku,waived
2018-08-06,Mavericks,. Ryan Broekhoff,,"signed free agent to a 2-year, $2.3-2.4M contract"
2018-08-08,Mavericks,. Devin Harris,,"signed unrestricted free agent to a 1-year, $2.4M contract"
2018-08-09,Mavericks,,. Terry Larrier,waived
2018-08-10,Mavericks,. Jalen Jones,,signed free agent
2018-10-08,Mavericks,,. Codi Miller-McIntyre,waived
2018-10-08,Mavericks,,. Jalen Jones,waived
2018-10-08,Mavericks,. Donte Ingram,,signed free agent
2018-10-08,Mavericks,. Rashad Vaughn,,signed free agent
2018-10-10,Mavericks,,. Ding Yanyuhang,waived
2018-10-11,Mavericks,,. Donte Ingram,waived
2018-10-11,Mavericks,,. Rashad Vaughn,waived
2018-10-12,Mavericks,. Ding Yanyuhang,,signed free agent
2018-10-14,Mavericks,,. Ding Yanyuhang,waived
2018-10-15,Mavericks,. Dennis Smith Jr.,,team exercised 1-year contract option through 2019-20
2019-01-31,Mavericks,. Kristaps Porzingis. Tim Hardaway Jr.. Courtney Lee. Trey Burke,". Dennis Smith Jr.. DeAndre Jordan. Wesley Matthews. first round pick (two years after Mavericks send first round pick to Hawks) (?-?). first round pick (protected top 10 in 2023-25, else 2025 second round pick) (?-?)",trade with Knicks
2019-01-31,Mavericks,,. Raymond Spalding / Ray Spalding,waived
2019-02-07,Mavericks,,. Salah Mejri,waived
2019-02-07,Mavericks,. Justin Jackson. Zach Randolph,. Harrison Barnes,trade with Kings
2019-02-08,Mavericks,,. Zach Randolph,waived
2019-02-10,Mavericks,. Salah Mejri,,signed free agent
2019-04-09,Mavericks,,. Dirk Nowitzki,retired
2019-05-20,Mavericks,,. Dwight Powell,"player declined contract option, making him an unrestricted free agent"
2019-06-18,Mavericks,. Dwight Powell,,"player exercised 1-year, $10.3M contract option through 2019-20"
2019-06-20,Mavericks,. Deividas Sirvydis,,2019 NBA draft second round pick (#37 overall)
2019-06-26,Mavericks,. Dorian Finney-Smith,,"team tendered qualifying offer, making player a restricted free agent"
2019-06-26,Mavericks,. Kristaps Porzingis,,"team tendered qualifying offer, making player a restricted free agent"
2019-06-26,Mavericks,. Maximilian Kleber / Maxi Kleber,,"team tendered qualifying offer, making player a restricted free agent"
2019-06-26,Mavericks,. rights to Isaiah Roby. 2020 second round pick (#51-Justinian Jessup). 2021 second round pick (?-?),. rights to Deividas Sirvydis,trade with Pistons
2019-06-30,Mavericks,. Ryan Broekhoff,,team guaranteed contract for 2019-20
2019-07-01,Mavericks,,. Devin Harris,player became an unrestricted free agent
2001-08-22,Mavericks,. Tim Hardaway Sr.,. 2003 or 2004 second round pick (Mavericks option) (2004 #53-Matt Freije). trade exception,trade with Heat
2001-09-25,Mavericks,. 2003-2007 (Nuggets option) second round pick (?-?) or future considerations (?),. rights to Kenny Satterfield,trade with Nuggets
2001-09-28,Mavericks,,. Obinna Ekezie,lost free agent (to Clippers)
2001-10-01,Mavericks,. Chris Robinson,,"signed free agent to a non-guaranteed, minimum contract"
2001-10-01,Mavericks,. Ruben Wolkowyski,,"signed free agent to a non-guaranteed, minimum contract"
2001-10-02,Mavericks,,. Gary Trent,lost free agent (to Timberwolves)
2001-10-08,Mavericks,,. Chris Robinson,waived
2001-10-23,Mavericks,. Dirk Nowitzki,,"re-signed to a 6-year, estimated $85M contract extension"
2001-10-29,Mavericks,,. Khalid El-Amin,waived
2001-10-29,Mavericks,,. Tyrone Bogues / Muggsy Bogues,waived
2001-11-19,Mavericks,. Omar Cook,,signed free agent to a minimum contract
2001-11-20,Mavericks,,. Darrick Martin,waived
2001-11-27,Mavericks,,. Ruben Wolkowyski,waived
2001-11-27,Mavericks,. Johnny Newman,,signed free agent to a minimum contract
2001-12-28,Mavericks,,. Omar Cook,waived
2002-01-10,Mavericks,. Charlie Bell,,signed free agent to a 10-day contract
2002-01-15,Mavericks,. Charlie Bell,,re-signed for the remainder of the season
2002-02-21,Mavericks,,. Charlie Bell,waived
2002-02-21,Mavericks,. Nick Van Exel. Raef LaFrentz. Avery Johnson. Tariq Abdul-Wahad / Olivier Saint-Jean,. Juwan Howard. Donnell Harvey. Tim Hardaway Sr.. 2002 first round pick (#25-Frank Williams). $1M cash,trade with Nuggets
2002-06-24,Mavericks,,. Danny Manning,waived (agreed to $900K contract buyout)
2002-06-26,Mavericks,. Mladen Sekularac,,2002 NBA draft second round pick (#54 overall)
2002-07-01,Mavericks,. Donn Nelson / Donnie Nelson,,promoted to president of basketball operations (in addition to assistant coach)
2002-07-25,Mavericks,,. Greg Buckner,lost free agent (to 76ers)
2002-07-30,Mavericks,. Raef LaFrentz,,"re-signed free agent to a 7-year, $69-70M contract"
2002-07-30,Mavericks,. Robert Hackett,,hired as strength & conditioning coach
2019-07-01,Mavericks,,. Dirk Nowitzki,player became an unrestricted free agent
2019-07-01,Mavericks,,. Jose Juan Barea / Jose Barea / J.J. Barea,player became an unrestricted free agent
2019-07-01,Mavericks,,. Salah Mejri,player became an unrestricted free agent
2019-07-01,Mavericks,,. Trey Burke,player became an unrestricted free agent
2019-07-06,Mavericks,. Dwight Powell,,"re-signed to a 3-year, $33M contract extension"
2019-07-08,Mavericks,. Delon Wright,". rights to Satnam Singh / Satnam Singh Bhamara. 2021 second round pick (?-?). 2023 second round pick (less favorable of Heat, Mavericks picks) (?-?). traded player exception",trade with Grizzlies
2019-07-10,Mavericks,. Maximilian Kleber / Maxi Kleber,,"re-signed restricted free agent to a 4-year, $35.9M contract"
2019-07-10,Mavericks,. Seth Curry,,"signed unrestricted free agent to a 4-year, $32M contract"
2019-07-11,Mavericks,. Dorian Finney-Smith,,"re-signed restricted free agent to a 3-year, $12M contract"
2019-07-12,Mavericks,. Kristaps Porzingis,,"re-signed restricted free agent to a 5-year, $158.25M contract with a 1-year player option for 2023"
2019-07-19,Mavericks,,. Kostas Antetokounmpo,waived
2019-07-23,Mavericks,. Boban Marjanovic,,"signed unrestricted free agent to a 2-year, $7M contract"
2019-07-25,Mavericks,. Antonius Cleveland,,signed free agent to a two way contract
2019-07-26,Mavericks,,. Daryl Macon,waived
2019-07-26,Mavericks,. Dakota Mathias,,signed free agent to an Exhibit 10 contract
2019-07-29,Mavericks,. Josh Reaves,,signed free agent to a two way contract
2019-08-07,Mavericks,. Isaiah Roby,,"signed second round pick to a 3-year, $4.8M contract with a 1-year team option for 2022"
2019-08-19,Mavericks,. Jose Juan Barea / Jose Barea / J.J. Barea,,"re-signed unrestricted free agent to a 1-year, $2.6M contract"
2019-08-29,Mavericks,. Aric Holman,,claimed off waivers (from Lakers)
2019-09-03,Mavericks,. Aric Holman,,signed free agent
2019-09-18,Mavericks,. Yudai Baba,,signed free agent to an Exhibit 10 contract
2019-09-24,Mavericks,. Justin Jackson,,"team exercised 1-year, $5M contract option through 2020-21"
2019-09-24,Mavericks,. Luka Doncic,,"team exercised 1-year, $8.05M contract option through 2020-21"
2019-10-12,Mavericks,,. Yudai Baba,waived
2019-10-15,Mavericks,,. Aric Holman,waived
2019-10-15,Mavericks,,. Dakota Mathias,waived
2019-10-17,Mavericks,. Chad Brown,,signed free agent to a 1-year Exhibit 10 contract
2019-10-19,Mavericks,,. Chad Brown,waived
2020-01-24,Mavericks,. Justin Patton. cash,. Isaiah Roby,trade with Thunder
2020-01-25,Mavericks,,. Justin Patton,waived
2020-01-25,Mavericks,. Willie Cauley-Stein,. 2020 second round pick (#51-Justinian Jessup),trade with Warriors
2020-01-27,Mavericks,,. Justin Patton,player became a free agent
2020-02-11,Mavericks,,. Ryan Broekhoff,waived
2020-02-11,Mavericks,. Michael Kidd-Gilchrist,,signed free agent to a 1-year contract / contract for the remainder of the season
2020-02-13,Mavericks,,. Ryan Broekhoff,player became a free agent
2020-06-25,Mavericks,,. Willie Cauley-Stein,player opted out of remaining 2020 season due to COVID-19 coronavirus pandemic
2020-07-01,Mavericks,. Trey Burke,,signed unrestricted free agent to a contract for the remainder of the season as a substitute player
2020-11-18,Mavericks,,. Devin Harris,renounced rights
2020-11-18,Mavericks,,. Dirk Nowitzki,renounced rights
2020-11-18,Mavericks,,. Salah Mejri,renounced rights
2020-11-18,Mavericks,,. Willie Cauley-Stein,player declined contract option for 2020-21
2020-11-18,Mavericks,. Josh Green,,2020 NBA draft first round pick (#18 overall)
2020-11-18,Mavericks,. Tyrell Terry,,2020 NBA draft second round pick (#31 overall)
2020-11-18,Mavericks,. Josh Richardson. rights to Tyler Bey,. Seth Curry. traded player exception,trade with 76ers
2020-11-19,Mavericks,. Tim Hardaway Jr.,,player exercised 1-year $19M contract option through 2020-21
2020-11-20,Mavericks,,. Antonius Cleveland,player became an unrestricted free agent
2020-11-20,Mavericks,,. Courtney Lee,player became an unrestricted free agent
2020-11-20,Mavericks,,. Jose Juan Barea / Jose Barea / J.J. Barea,player became an unrestricted free agent
2020-11-20,Mavericks,,. Josh Reaves,player became an unrestricted free agent
2020-11-20,Mavericks,,. Michael Kidd-Gilchrist,player became an unrestricted free agent
2020-11-20,Mavericks,,. Trey Burke,player became an unrestricted free agent
2020-11-20,Mavericks,,. Willie Cauley-Stein,player became an unrestricted free agent
2020-11-27,Mavericks,. James Johnson,". Delon Wright. Justin Jackson. 2023 second round pick (more favorable of Heat, Mavericks picks) (?-?). 2026 second round pick (?-?)","3-team trade with Pistons, Thunder"
2020-11-30,Mavericks,. Josh Green,,"signed first round pick to a 2-year $5.8M contract through 2021-22 with 1-year team options for 2022-23, 2023-24"
2020-11-30,Mavericks,. Tyler Bey,,signed second round pick to a two way contract
2020-12-01,Mavericks,. Devonte Patterson,,signed free agent to a 1-year Exhibit 10 contract
2020-12-01,Mavericks,. Freddie Gillespie,,signed free agent to an Exhibit 10 contract
2020-12-01,Mavericks,. Jose Juan Barea / Jose Barea / J.J. Barea,,re-signed unrestricted free agent to a 1-year $2.6M contract
2020-12-01,Mavericks,. Luka Doncic,,team exercised $10.2M contract option through 2021-22
2020-12-01,Mavericks,. Nate Hinton,,signed free agent to a two way contract
2020-12-01,Mavericks,. Trey Burke,,re-signed unrestricted free agent to a 3-year $9.45M contract
2020-12-01,Mavericks,. Tyrell Terry,,signed second round pick to a 4-year $6.5M contract
2020-12-01,Mavericks,. Wesley Iwundu / Wes Iwundu,,signed unrestricted free agent to a 2-year $3.5M contract
2020-12-01,Mavericks,. Willie Cauley-Stein,,re-signed unrestricted free agent to a 2-year $8.2M contract
2020-12-09,Mavericks,. Courtney Lee,,re-signed unrestricted free agent
2020-12-10,Mavericks,,. Jose Juan Barea / Jose Barea / J.J. Barea,waived
2020-12-12,Mavericks,,. Jose Juan Barea / Jose Barea / J.J. Barea,player became a free agent
2020-12-18,Mavericks,,. Devonte Patterson,waived
2020-12-18,Mavericks,,. Freddie Gillespie,waived
2020-12-19,Mavericks,,. Courtney Lee,waived
2020-12-20,Mavericks,,. Devonte Patterson,player became a free agent
2020-12-20,Mavericks,,. Freddie Gillespie,player became a free agent
2020-12-21,Mavericks,,. Courtney Lee,player became a free agent
2002-09-09,Mavericks,,. Charlie Bell,signed with Virtus Bologna of Italy
2002-09-14,Mavericks,,. Ruben Wolkowyski,lost free agent (to Celtics)
2002-09-20,Mavericks,. Ronald Jones / Popeye Jones,,"signed free agent (from Wizards) to a 1-year, minimum contract"
2002-09-27,Mavericks,. Adam Harrington,,signed free agent to a minimum contract
2002-09-27,Mavericks,. Derek Hood,,"signed free agent to a 1-year, non-guaranteed minimum contract"
2002-09-27,Mavericks,. Kipp Christianson,,"signed free agent to a 1-year, non-guaranteed minimum contract"
2002-09-27,Mavericks,. Raja Bell,,signed free agent to a minimum contract
2002-09-28,Mavericks,. Eduardo Najera,,"re-signed free agent to a 6-year, $24M contract (player opt-out after fifth year)"
2002-10-06,Mavericks,,. Kipp Christianson,waived
2002-10-17,Mavericks,,. Wang Zhizhi / Wang Zhi-Zhi,lost restricted free agent (declined to match Clippers offer sheet)
2002-10-17,Mavericks,. Walt Williams,,"signed free agent (from Rockets) to a 1-year, minimum contract"
2002-10-25,Mavericks,,. Derek Hood,waived
2002-11-16,Mavericks,. Mark Strickland,,signed free agent to a 1-year minimum contract
2002-11-28,Mavericks,,. Mark Strickland,waived
2003-01-07,Mavericks,,. Adam Harrington,waived
2003-01-17,Mavericks,. Antoine Rigaudeau,,"signed free agent to a 2-year, $1.3M contract with a 1-year team option"
2003-06-26,Mavericks,. Josh Howard,,2003 NBA draft first round pick (#29 overall)
2003-06-26,Mavericks,. Xue Yuyang / Yuyang Xue,,2003 NBA draft second round pick (#57 overall)
2003-06-26,Mavericks,. 2004 second round pick (#50-Vassilis Spanoulis),. rights to Xue Yuyang / Yuyang Xue,trade with Nuggets
2003-06-30,Mavericks,. Don Nelson,,signed to a new 3-year contract to continue as coach and GM (the coaching part of his old contract was set to expire this day - he had 3 more years as GM under that old contract)
2003-07-01,Mavericks,,. Adrian Griffin,declared free agency
2003-07-01,Mavericks,,. Raja Bell,declared free agency
2003-07-01,Mavericks,,. Ronald Jones / Popeye Jones,declared free agency
2003-07-01,Mavericks,,. Walt Williams,player became an unrestricted free agent
2003-07-01,Mavericks,. Del Harris,,re-signed as assistant coach to a 3-year contract
2003-07-01,Mavericks,. Don Nelson,,re-signed as head coach & GM to a 3-year contract extension
2003-07-03,Mavericks,. Josh Howard,,"signed first round pick to a 3-year, $2.6M contract with a fourth year, $1.7M team option"
2003-07-29,Mavericks,. Marquis Daniels,,signed free agent to a 1-year minimum contract
2003-08-07,Mavericks,,. Adrian Griffin,lost free agent (to Rockets)
2003-08-18,Mavericks,. Antawn Jamison. Danny Forston. Chris Mills. Jiri Welsch,. Nick Van Exel. Avery Johnson. Ronald Jones / Popeye Jones. Antoine Rigaudeau. Evan Eschmeyer,trade with Warriors
2003-08-18,Mavericks,. Ronald Jones / Popeye Jones,,re-signed free agent to a 1-year contract
2003-08-18,Mavericks,. Ronald Jones / Popeye Jones,,re-signed
2003-08-22,Mavericks,. Travis Best,,"signed free agent (from Heat) to a 1-year, minimum contract"
2003-09-01,Mavericks,. Jon Stefansson,,signed free agent
2003-09-26,Mavericks,,. Raja Bell,lost free agent (to Jazz)
2003-09-30,Mavericks,. Josh Powell,,"signed free agent to a 1-year, non-guaranteed contract"
2003-09-30,Mavericks,. Rod Gregoire,,signed free agent to a non-guaranteed contract
2003-10-03,Mavericks,,. Rod Gregoire,waived
2003-10-20,Mavericks,,. Josh Powell,waived
2003-10-20,Mavericks,. Antoine Walker. Tony Delk,. Raef LaFrentz. Jiri Welsch. Chris Mills. 2004 first round pick (lottery protected) (#24-Delonte West),trade with Celtics
2004-01-06,Mavericks,. Mamadou N'diaye,,signed free agent to a 10-day contract
2004-01-16,Mavericks,. Mamadou N'diaye,,re-signed to a second 10-day contract
2004-01-26,Mavericks,,. Mamadou N'Diaye,player became a free agent
2004-01-30,Mavericks,. Scott Williams,,"claimed off waivers (from Suns), signed for the remainder of the season"
2004-06-24,Mavericks,. Vassilis Spanoulis,,2004 NBA draft second round pick (#50 overall)
2004-06-24,Mavericks,. Jerry Stackhouse. Christian Laettner. rights to Devin Harris,. Antawn Jamison. $1M cash,trade with Wizards
2004-06-24,Mavericks,. rights to Luis Flores. cash,. rights to Vassilis Spanoulis,trade with Rockets
2004-06-24,Mavericks,. rights to Pavel Podkolzine,. 2005 first round pick (#27-Linas Kleiza),trade with Jazz
2004-06-24,Mavericks,. Erick Dampier. Evan Eschmeyer. rights to Steve Logan,. Christian Laettner. Eduardo Najera. rights to Luis Flores. rights to Mladen Sekularac. 76ers first round pick (lottery protected) (?-?). 2007 first round pick (top 7 protected) (#30-Petteri Koponen). cash,trade with Warriors
2004-07-01,Mavericks,,. Scott Williams,became a free agent
2004-07-01,Mavericks,,. Steve Nash,became a free agent
2004-07-01,Mavericks,,. Travis Best,became a free agent
2004-07-02,Mavericks,. Devin Harris,,"signed first round pick to a 3-year, $8.8M contract with a fourth year team option at $4M"
2004-07-14,Mavericks,. Didier Ilunga-Mbenga / Didier Mbenga / D.J. Mbenga,,"signed free agent to a 2-year, $3.4M contract"
2004-07-14,Mavericks,. Marquis Daniels,,"re-signed restricted free agent to a 6-year, $38.6M contract (sixth year is team option)"
2004-07-14,Mavericks,,. Steve Nash,lost free agent (to Suns)
2004-07-26,Mavericks,. Calvin Booth,. Danny Fortson,trade with Sonics
2004-07-29,Mavericks,. Pavel Podkolzine,,"signed first round pick to a 3-year, $3.4M contract with a fourth year, $1.9M team option"
2004-08-04,Mavericks,". Jason Terry. Alan Henderson. 76ers 2007 first round pick (lottery protected, else $1M cash)",. Antoine Walker. Tony Delk,trade with Hawks
2004-08-24,Mavericks,. Dan Dickau,. trade exception,trade with Warriors
2004-09-01,Mavericks,,. Jon Stefansson,waived
2004-09-28,Mavericks,,. Scott Williams,lost free agent (to Cavaliers)
2004-09-28,Mavericks,. Avery Johnson,,"signed free agent to a 1-year, $1.1M contract"
2004-10-05,Mavericks,. Derek Hood,,"signed free agent to a 1-year, non-guaranteed contract"
2004-10-20,Mavericks,. Jason Sasser,,signed free agent
2004-10-23,Mavericks,,. Evan Eschmeyer,retired
2004-10-23,Mavericks,. Jeryl Sasser,,signed free agent to a non-guaranteed contract
2004-10-24,Mavericks,. Felipe Lopez,,"signed free agent to a 1-year, non-guaranteed contract"
2004-10-28,Mavericks,,. Avery Johnson,retired
2004-10-28,Mavericks,. Avery Johnson,,hired as assistant coach
2004-10-29,Mavericks,,. Derek Hood,waived
2004-10-29,Mavericks,,. Felipe Lopez,waived
2004-10-29,Mavericks,,. Jason Sasser,waived
2004-11-02,Mavericks,,. Dan Dickau,team declined to exercise contract option through 2005-06
2004-12-03,Mavericks,. Darrell Armstrong,. Dan Dickau. 2005 second round pick (#57-Marcin Gortat),trade with Hornets
2005-02-24,Mavericks,. Keith Van Horn,. Alan Henderson. Calvin Booth. $250K cash,trade with Bucks
2005-03-01,Mavericks,. Alan Henderson,,signed free agent
2005-03-19,Mavericks,,. Don Nelson,resigned as head coach
2005-03-19,Mavericks,. Avery Johnson,,promoted to head coach
2005-04-09,Mavericks,. Avery Johnson,,"re-signed as head coach to a 4-year, $10M contract (starting next season)"
2005-08-02,Mavericks,. Josh Powell,,signed free agnet to a 1-year contract with a 1-year year team option
2005-08-05,Mavericks,. Rawle Marshall,,signed free agent to a 1-year contract with a 1-year team option
2005-08-12,Mavericks,. Doug Christie,,agreed to terms with free agent
2005-08-15,Mavericks,,. Michael Finley,waived (using amnesty provision)
2005-08-15,Mavericks,. Darrell Armstrong,,re-signed to a 1-year minimum contract
2005-08-19,Mavericks,. Doug Christie,,"signed free agent to a reported 3-year, $9.7M contract with a 2-year team and player option"
2005-08-19,Mavericks,. DeSagana Diop,,"signed free agent (from Cavaliers) to a 3-year, $6.5M contract"
2005-08-26,Mavericks,. Joe Prunty,,hired as assistant coach
2005-08-26,Mavericks,. Rolando Blackman,,hired as assistant coach
2005-09-17,Mavericks,,. Alan Henderson,lost free agent (to Cavaliers)
2005-10-03,Mavericks,. Kaniel Dickens,,"signed free agent to a 1-year, non-guaranteed contract"
2005-10-03,Mavericks,. Samo Udrih,,"signed free agent to a 1-year, non-guaranteed contract"
2005-10-03,Mavericks,. Erick Strickland,,"signed free agent (from Bucks) to a 1-year, non-guaranteed contract"
2005-10-06,Mavericks,. Josh Howard,,team exercised contract option through 2006-07
2005-10-10,Mavericks,,. Samo Udrih,waived
2005-10-18,Mavericks,,. Shawn Bradley,retired
2005-10-21,Mavericks,,. Erick Strickland,waived
2005-10-26,Mavericks,,. Kaniel Dickens,waived
2005-10-28,Mavericks,,. Tariq Abdul-Wahad / Olivier Saint-Jean,waived
2005-11-24,Mavericks,,. Doug Christie,waived
2005-11-28,Mavericks,. Adrian Griffin,,signed free agent (from Bulls)
2006-06-28,Mavericks,. Maurice Ager,,2006 NBA draft first round pick (#28 overall)
2006-06-28,Mavericks,. Danilo Pinnock / J.R. Pinnock,,2006 NBA draft second round pick (#58 overall)
2006-06-28,Mavericks,. 2007 second round pick (#50-Renaldas Seibutis),. rights to Danilo Pinnock / J.R. Pinnock,trade with Lakers
2006-07-01,Mavericks,. Maurice Ager,,"signed first round pick to a 2-year, $1.9M contract with a 2-year, $2.9M team option"
2006-07-12,Mavericks,. Austin Croshere,. Marquis Daniels,trade with Pacers
2006-07-12,Mavericks,. Greg Buckner,,"signed free agent (from Nuggets) to a 3-year, $10.5M contract with a 2-year, $19M option (first year is team option, second year is player option)"
2006-07-13,Mavericks,. Didier Ilunga-Mbenga / Didier Mbenga / D.J. Mbenga,,re-signed restricted free agent to a 3-year contract
2006-07-24,Mavericks,. Anthony Johnson,. Darrell Armstrong. Josh Powell. Rawle Marshall,trade with Pacers
2006-07-24,Mavericks,. Darrell Armstrong,,"re-signed to a 1-year, minimum contract"
2006-07-25,Mavericks,. Jason Terry,,"re-signed unrestricted free agent to a 6-year, $57M contract"
2006-07-25,Mavericks,. Rolando Blackman,,promoted to director of basketball development
2006-07-31,Mavericks,,. Adrian Griffin,lost unrestricted free agent (to Bulls)
2006-08-01,Mavericks,. Devean George,,"signed unrestricted free agent (from Lakers) to a 2-year, $4.2M contract (second year is player option)"
2006-08-03,Mavericks,. Pops Mensah-Bonsu,,signed free agent to a 2-year contract (second year is team option)
2006-08-04,Mavericks,,. Pavel Podkolzine,waived
2006-08-17,Mavericks,. Darius Washington,,signed free agent to a non-guaranteed contract
2006-08-17,Mavericks,. Jose Juan Barea / Jose Barea / J.J. Barea,,signed free agent to a non-guaranteed contract
2006-08-17,Mavericks,. Ndudi Ebi,,signed free agent to a non-guaranteed contract
2006-08-17,Mavericks,. Pat Carroll,,signed free agent to a non-guaranteed contract
2006-08-31,Mavericks,. Sam Vincent,,hired as assistant coach
2006-09-26,Mavericks,. Dirk Nowitzki,,"re-signed to a 3-year, $60M contract extension through 10-11"
2006-10-05,Mavericks,. Devin Harris,,team exercised contract option through 2007-08
2006-10-12,Mavericks,. Avery Johnson,,"re-signed as head coach to a 5-year, $20M contract (plus incentives) through 2010-11"
2006-10-15,Mavericks,,. Pat Carroll,waived
2006-10-19,Mavericks,. Josh Howard,,"re-signed to a 4-year, $40M contract extension through 10-11"
2006-10-20,Mavericks,,. Darius Washington,waived
2006-10-26,Mavericks,,. Ndudi Ebi,waived
2007-02-22,Mavericks,. 2007 second round pick (#34-Nick Fazekas),. Anthony Johnson,trade with Hawks
2007-04-02,Mavericks,. Kevin Willis,,signed free agent to a 10-day contract
2007-04-12,Mavericks,. Kevin Willis,,re-signed for the remainder of the season
2007-05-11,Mavericks,. DeSagana Diop,,team exercised contract option through 2007-08
2007-06-28,Mavericks,. Paul Westphal,,hired as assistant coach
2007-06-28,Mavericks,. Milovan Rakovic,,2007 NBA draft second round pick (#60 overall)
2007-06-28,Mavericks,. Nick Fazekas,,2007 NBA draft second round pick (#34 overall)
2007-06-28,Mavericks,. Renaldas Seibutis,,2007 NBA draft second round pick (#50 overall)
2007-06-28,Mavericks,. rights to Reyshawn Terry,. rights to Milovan Rakovic. cash,trade with Magic
2007-06-29,Mavericks,,. Devean George,"player declined to exercise contract option, making him an unrestricted free agent"
2007-07-01,Mavericks,,. Kevin Willis,player became an unrestricted free agent
2007-07-06,Mavericks,. Jerry Stackhouse,,"agreed to terms with free agent on a reported 3-year, $24M contract"
2007-07-09,Mavericks,. Devean George,,"agreed to terms with unrestricted free agent on a reported 1-year, $2.5M contract"
